sec_name_rsrc,pe_characteristics,pe_dll_chars,pe_image_base,cape_num__malscore,cape_num__sum_files_count,cape_num__detections_count,cape_num__target_cape_yara_count,sec_exec_count,pe_resource_size,cape_num__sum_delete_files_count,sec_write_count,pe_num_sections,sec_rx_count,cape_num__sum_write_files_count,pe_timestamp,cape_num__sum_read_files_count,sec_rawsize_max,ng2_0287,cape_num__signatures_count,ng2_1171,sec_rawsize_mean,pe_import_desc_count,sec_read_count,ng2_0240,pe_size_of_headers,ng2_0711,pe_file_align,mid_byte_139,pe_overlay_ratio,cape_num__sig_sev_1_count,ng2_1745,ng2_1668,tail_byte_139,ng2_1604,tail_byte_000,cape_num__sig_sev_sum,sec_rw_count,sec_entropy_min,byte_085,ng2_1165,file_size,cape_num__sig_sev_2_count,ng2_0004,entropy_tail,ng2_1819,ng2_0556,ng2_0351,ng2_0795,ng2_0360,str_susp_kw_sum,ng2_1887,sec_entropy_mean,sec_name_text,ng2_0000,ng2_1902,ng2_0448,ng2_1341,ng2_0369,cape_num__sum_write_keys_count,cape_num__proc_count,ng2_0027,pe_import_rva,ng2_0228,tail_byte_033,byte_069,byte_000,ng2_0245,ng2_0919,cape_num__sum_read_keys_count,mid_byte_000,str_count,str_url_count,cape_num__sig_sev_3_count,ng2_0283,ng2_2027,sec_name_data,ng2_0403,file_entropy,ng2_1852,cape_num__sum_executed_commands_count,null_ratio,ng2_1302,mid_byte_133,ng2_1645,ng2_2042,tail_byte_069,ng2_0104,ng2_1307,ng2_0041,ng2_0332,ng2_0486,mid_byte_232,cape_num__sum_started_services_count,cape_num__sig_sev_mean,byte_139,ng2_0539,ng2_1197,ng2_1352,ng2_0949
1.0,33166.0,0.0,4194304.0,7.0,67.0,0.0,0.0,1.0,161400.0,0.0,4.0,8.0,1.0,5.0,708992500.0,0.0,417792.0,0.00019739915,13.0,0.0012132826,77760.0,13.0,8.0,0.0018776992,1024.0,0.00018776993,512.0,0.056382813,0.0,5.0,9.1477654e-05,0.0017156072,0.04846875,0.0015727737,0.20664454,23.0,4.0,0.0,0.007289313,4.8146132e-05,623104.0,6.0,0.00063552894,6.448653,0.00821052,0.0017878264,0.0017830118,0.017711358,0.0005601,19.0,0.00025998912,3.5396433,0.0,0.14169407,0.00031936934,0.001779802,0.00095810805,0.0003883788,3.0,7.0,0.002739515,434176.0,0.0069330432,0.0009375,0.013042767,0.19428699,0.0014203109,0.001332043,121.0,0.17379297,3004.0,0.0,2.0,0.0039495877,0.002887163,0.0,0.0016835098,6.478535,0.005341011,5.0,0.19428699,0.0007574992,0.004984375,0.0007430553,0.0002166576,0.012457031,0.0064339284,0.0036895988,0.0005552854,0.0008521866,0.002664086,0.020230468,4.0,1.7692307,0.051357396,0.0070181014,5.9380232e-05,0.00042850059,0.0006884897
1.0,259.0,32768.0,4194304.0,7.0,37.0,0.0,0.0,1.0,11304.0,1.0,1.0,3.0,1.0,5.0,707327550.0,0.0,11776.0,4.3957974e-05,13.0,0.00030770584,6485.3335,6.0,3.0,0.00021978989,1024.0,0.00013187392,512.0,0.0034725275,0.09978022,4.0,4.3957974e-05,0.00021978989,0.0034725275,0.0001758319,0.28263736,24.0,1.0,3.7021544,0.001010989,0.00013187392,22750.0,7.0,4.3957974e-05,5.0088396,0.0007472856,0.00039562178,0.0003516638,0.0013626972,0.00039562178,0.0,0.0,4.8317475,1.0,0.1733263,4.3957974e-05,0.00021978989,0.00043957977,0.0003516638,0.0,6.0,0.00030770584,13256.0,0.055562884,0.0014945054,0.003956044,0.28263736,4.3957974e-05,0.0001758319,110.0,0.28263736,67.0,0.0,2.0,0.0001758319,4.3957974e-05,1.0,0.00026374785,5.0088396,0.00043957977,4.0,0.28263736,0.0001758319,0.00057142857,0.00013187392,4.3957974e-05,0.003956044,0.00087915955,8.791595e-05,0.0001758319,0.00043957977,8.791595e-05,0.00210989,4.0,1.8461539,0.0034725275,0.0003516638,4.3957974e-05,0.00043957977,0.00013187392
1.0,291.0,32768.0,4194304.0,9.0,108.0,0.0,0.0,2.0,3432.0,4.0,3.0,3.0,0.0,7.0,1324638000.0,0.0,270848.0,0.00046353912,17.0,0.00054583413,91818.664,16.0,3.0,0.0005676675,4096.0,0.00042826985,512.0,0.0047382815,0.5356555,6.0,0.00046521862,0.00047865452,0.004451172,0.0005189623,0.011626953,31.0,1.0,0.0,0.0037486143,0.0003392569,595420.0,8.0,0.00047865452,7.982715,0.0006281291,0.0004501032,0.0006717958,0.00075409084,0.0004820135,0.0,0.0005609495,3.9531384,0.0,0.0062325858,0.00042491086,0.0005760649,0.00050720584,0.0005441546,50.0,4.0,0.0005273597,740712.0,0.0006919497,0.0041601565,0.0039938195,0.012218266,0.0005760649,0.00053911615,1977.0,0.011960938,1380.0,0.0,3.0,0.0005895008,0.00045682117,0.0,0.00061973167,7.9771514,0.0004954494,2.0,0.012218266,0.0004668981,0.0041054687,0.00047697505,0.00052064174,0.0040332032,0.0005811034,0.00060461625,0.00042491086,0.00061805215,0.0005676675,0.0038046874,5.0,1.8235294,0.004820127,0.00059789827,0.0003896416,0.0005542316,0.00050384685
1.0,271.0,0.0,4194304.0,0.5,30.0,0.0,0.0,1.0,2928.0,0.0,1.0,3.0,1.0,1.0,1389978400.0,0.0,671744.0,3.0700365e-05,5.0,0.0025832162,226645.33,1.0,3.0,1.7543065e-05,4096.0,0.00029238441,4096.0,0.023007812,0.0,4.0,0.00020613101,0.00023390753,0.0224375,1.9004987e-05,0.07112305,6.0,1.0,-0.0,0.000839142,1.9004987e-05,684032.0,1.0,0.000618393,5.5664926,0.000112568,0.00029530824,0.00438869,0.0008186764,9.356301e-05,2.0,1.1695376e-05,2.689392,1.0,0.05746231,2.0466909e-05,0.0008332956,0.010050714,2.4852674e-05,0.0,1.0,0.00017104489,670324.0,1.9004987e-05,0.00051953126,0.0033609539,0.10619971,0.00017543064,2.9238441e-05,42.0,0.054480467,303.0,0.0,4.0,1.4619221e-05,0.00015057797,1.0,0.00028946056,5.646755,0.0009970309,0.0,0.10619971,0.00035378514,0.07310742,0.00013742068,1.0233454e-05,0.0037265625,0.012050623,1.6081143e-05,0.00030115593,0.0006227788,2.6314598e-05,0.028648438,0.0,1.2,0.021304559,0.019923074,8.7715325e-06,3.362421e-05,0.00024852675
1.0,258.0,33088.0,4194304.0,9.0,86.0,0.0,0.0,2.0,87240.0,1.0,3.0,3.0,0.0,9.0,1357224100.0,1.0,87552.0,0.0001554544,29.0,0.0001525213,34986.668,1.0,3.0,0.0001554544,4096.0,0.0001525213,512.0,0.0013492228,0.68913907,6.0,0.00013492268,0.00017891922,0.0013492228,0.0001583875,0.6850914,63.0,1.0,0.0,0.0013022934,0.00019358472,340937.0,12.0,0.00020531713,3.4137528,0.00018185232,0.0001554544,0.00023758125,0.00020238402,0.00014078889,0.0,0.00017891922,5.2701354,0.0,0.6833306,0.0001759861,0.00013492268,0.00014665509,0.00019065161,66.0,8.0,0.00014372199,238792.0,0.00017891922,0.0010764452,0.0012524308,0.6850914,0.0001759861,0.0001525213,331.0,0.6850914,256.0,5.0,11.0,0.00012905648,0.00014665509,0.0,0.00019065161,3.4137528,0.00017891922,3.0,0.6850914,0.00013492268,0.0012641632,0.0001613206,0.00012319027,0.0012524308,0.0001554544,0.00017891922,0.0001759861,0.0001613206,0.0001525213,0.0012113675,1.0,2.1724138,0.0013492228,0.0001759861,0.00014372199,0.0001554544,0.00013785578
0.0,0.0,0.0,0.0,1.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0019569471,0.16796875,3.0,0.0,0.0,0.00390625,0.0,512.0,6.0,0.0,6.0180163,0.0,0.0,0.0039138943,0.0,0.0,0.0,0.0019569471,0.0,0.0,0.06262231,0.0,0.0,0.0,0.0019569471,0.0,1.0,0.0,0.0,0.0,0.001953125,0.00390625,0.16796875,0.0,0.0,53.0,0.16796875,4.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0180163,0.0,2.0,0.16796875,0.0,0.0,0.0,0.0,0.00390625,0.0039138943,0.0,0.0,0.0,0.0,0.00390625,0.0,1.0,0.0,0.0,0.0019569471,0.0,0.0
1.0,271.0,0.0,4194304.0,9.0,51.0,0.0,0.0,1.0,70176.0,1.0,1.0,4.0,1.0,9.0,1114982400.0,0.0,131072.0,0.00018771473,22.0,0.00041471858,55296.0,14.0,4.0,0.00025756206,4096.0,0.000371064,4096.0,0.003941992,0.016553747,5.0,0.00049329683,0.0003055821,0.003941992,0.00022700385,0.3192708,46.0,1.0,0.41483557,0.0024708388,0.00023573477,229072.0,10.0,0.0004452768,6.182359,0.0007290316,0.0003928913,0.00073776254,0.00094730454,0.00046273862,8.0,0.00027065843,3.7773314,1.0,0.2994399,0.00020517656,0.0011393847,0.00038852583,0.00029248573,8.0,4.0,0.0005456823,139936.0,0.0005194896,0.0022220088,0.008591185,0.3192708,0.000742128,0.00021827294,116.0,0.3192708,412.0,8.0,7.0,0.00025756206,0.00021390748,1.0,0.0005456823,6.182359,0.0011088265,4.0,0.3192708,0.0002226384,0.0041733603,0.00023136931,0.00030121664,0.008591185,0.0007857826,0.00029248573,0.00028812027,0.0005675096,0.00017461836,0.004090417,1.0,2.090909,0.003941992,0.00032740942,0.00019644565,0.00022700385,0.0011786738
1.0,783.0,0.0,4194304.0,6.0,38.0,0.0,0.0,1.0,87232.0,0.0,4.0,6.0,1.0,3.0,1348004700.0,0.0,87552.0,0.00013329572,20.0,0.00017979422,17493.334,2.0,6.0,0.00011159642,1024.0,0.00014259543,512.0,0.0014259499,0.67146116,6.0,0.00017979422,0.00014569532,0.0014259499,0.00015809493,0.6813343,38.0,4.0,0.0,0.002188523,0.00014259543,322592.0,10.0,0.00016119482,3.4392326,0.00024489214,0.00043708598,0.00021389313,0.00029139064,0.00015809493,1.0,0.00013949552,3.6686153,1.0,0.6763952,0.00014569532,0.00017049453,0.00011779622,0.00016739462,4.0,8.0,0.00019219382,32768.0,0.0009888683,0.0010601627,0.0012647555,0.6813343,0.00018289413,0.00016429473,143.0,0.6813343,236.0,5.0,4.0,0.00013019583,0.00013019583,1.0,0.00014569532,3.4392326,0.00017359442,6.0,0.6813343,0.00012399603,0.0012864547,0.00013019583,0.00014879522,0.0012647555,0.00032548956,0.00012089612,0.00017049453,0.00015499502,0.00011469632,0.001391851,2.0,1.9,0.0014259499,0.00017049453,0.00013949552,0.00013329572,0.00018599402
1.0,783.0,0.0,4194304.0,6.0,38.0,0.0,0.0,1.0,87232.0,0.0,4.0,6.0,1.0,3.0,1348004700.0,0.0,87552.0,0.00012571372,20.0,0.00016956734,17493.334,2.0,6.0,0.00010524869,1024.0,0.00013448443,512.0,0.0013448405,0.6901488,6.0,0.00016956734,0.00013740802,0.0013448405,0.00014910231,0.6994603,38.0,4.0,0.0,0.0020640378,0.00013448443,342048.0,10.0,0.0001520259,3.2739902,0.00023096241,0.00041222406,0.00020172667,0.00027481603,0.00014910231,1.0,0.00013156087,3.6686153,1.0,0.69480217,0.00013740802,0.00016079661,0.00011109584,0.00015787304,4.0,8.0,0.00018126164,32768.0,0.0009326204,0.0009998597,0.001192815,0.6994603,0.00017249091,0.00015494946,143.0,0.6994603,236.0,5.0,4.0,0.00012279014,0.00012279014,1.0,0.00013740802,3.2739902,0.0001637202,6.0,0.6994603,0.000116942996,0.00121328,0.00012279014,0.0001403316,0.001192815,0.00030697536,0.00011401942,0.00016079661,0.00014617875,0.000108172266,0.0013126812,2.0,1.9,0.0013448405,0.00016079661,0.00013156087,0.00012571372,0.00017541449
0.0,0.0,0.0,0.0,10.0,105.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.00073514995,27.0,0.0004901,0.0,0.0,0.0,0.00058811996,0.0,0.00034307,0.0,0.0056358734,0.0,8.0,0.00034307,0.00039208,0.0056358734,0.00034307,0.02038716,60.0,0.0,0.0,0.004018623,0.00024505,20405.0,5.0,0.00024505,7.96297,0.00058811996,0.00078416,0.0004901,0.00058811996,0.00039208,0.0,0.00068614,0.0,0.0,0.014653989,0.00039208,0.0004901,0.00053911,0.00058811996,8.0,6.0,0.00078416,0.0,0.00058811996,0.0038225926,0.0035775546,0.02038716,0.00068614,0.0004901,923.0,0.02038716,42.0,0.0,14.0,0.00058811996,0.00029405998,0.0,0.00044108997,7.96297,0.00073514995,5.0,0.02038716,0.00024505,0.004018623,9.802e-05,0.00058811996,0.0035775546,0.00093119,0.00083316996,0.00063713,0.00029405998,0.00058811996,0.004263661,4.0,2.2222223,0.0056358734,0.0009802,0.0004901,0.00073514995,0.00053911
