iter	Accuracy	MultiClass
102	0.9361911801	0.3765063392
103	0.9361911801	0.3734311376
104	0.9364375462	0.3714505573
105	0.9366839123	0.3690323454
106	0.9369302784	0.3659989405
107	0.9369302784	0.363306584
108	0.9368070953	0.3600067013
109	0.9372998275	0.3579349269
110	0.9376693767	0.3558596953
111	0.9380389258	0.3540279925
112	0.9381621089	0.3521646692
113	0.938531658	0.3500333966
114	0.9387780241	0.3477849242
115	0.9398866716	0.3462777296
116	0.9396403055	0.3439238207
117	0.9400098546	0.3412227151
118	0.9403794038	0.338986959
119	0.9406257699	0.3367549097
120	0.940995319	0.3345477288
121	0.940995319	0.3328474093
122	0.9414880512	0.3311234559
123	0.9417344173	0.3289089289
124	0.9416112343	0.3272569693
125	0.9418576004	0.3253183219
126	0.9422271495	0.3237148358
127	0.9425966987	0.3221843094
128	0.9428430648	0.3203587356
129	0.9429662478	0.3185642063
130	0.9428430648	0.3164849754
131	0.9430894309	0.3150316394
132	0.943335797	0.3124979523
133	0.9432126139	0.3106976735
134	0.94345898	0.3089898768
135	0.9438285292	0.3077007325
136	0.9441980783	0.3061141269
137	0.9439517122	0.3041238549
138	0.9439517122	0.302880138
139	0.9438285292	0.3019593516
140	0.9439517122	0.300492291
141	0.9443212614	0.2992612094
142	0.9441980783	0.2977180271
143	0.9441980783	0.2967015152
144	0.9446908105	0.2953738894
145	0.9446908105	0.2939529532
146	0.9449371766	0.292629156
147	0.9450603597	0.2916378384
148	0.9449371766	0.2903258204
149	0.9448139936	0.2892431686
150	0.9450603597	0.2875898461
151	0.9455530919	0.2863884154
152	0.945799458	0.2849297041
153	0.9455530919	0.2832522689
154	0.9456762749	0.2818047246
155	0.945799458	0.280972962
156	0.9461690071	0.2797408302
157	0.9461690071	0.2789489005
158	0.9464153732	0.2776490914
159	0.9461690071	0.276686573
160	0.9462921902	0.2751144615
161	0.9464153732	0.2746937973
162	0.9462921902	0.2734029747
163	0.9466617393	0.2721356774
164	0.9471544715	0.2711647056
165	0.9474008376	0.2698004362
166	0.9471544715	0.2689212173
167	0.9472776546	0.2674353972
168	0.9472776546	0.2670243129
169	0.9474008376	0.2660027807
170	0.9474008376	0.2654650664
171	0.9475240207	0.2642339888
172	0.9480167529	0.2634685056
173	0.9477703868	0.262852035
174	0.9480167529	0.2617664071
175	0.9481399359	0.2608406137
176	0.9481399359	0.25986659
177	0.9486326681	0.2588187257
178	0.9486326681	0.2579891501
179	0.9486326681	0.2571161559
180	0.9488790342	0.2561911461
181	0.9487558512	0.2554933873
182	0.9487558512	0.2553851097
183	0.9487558512	0.2550165101
184	0.9487558512	0.2545945904
185	0.9488790342	0.2538675768
186	0.9491254003	0.2534797032
187	0.9492485834	0.2532697491
188	0.9492485834	0.2529769839
189	0.9492485834	0.2524661258
190	0.9492485834	0.251668041
191	0.9494949495	0.2508453189
192	0.9493717664	0.2505479856
193	0.9491254003	0.249885164
194	0.9492485834	0.2492715223
195	0.9494949495	0.248686619
196	0.9496181325	0.2486399001
197	0.9497413156	0.2479091795
198	0.9496181325	0.2472577191
199	0.9498644986	0.2466009252
200	0.9498644986	0.2464360371
201	0.9498644986	0.2462707764
202	0.9498644986	0.2462287478
203	0.9497413156	0.2459527513
204	0.9502340478	0.2453353491
205	0.9504804139	0.2450352304
206	0.9504804139	0.2448438046
207	0.9506035969	0.2448087767
208	0.9506035969	0.2445602249
209	0.9506035969	0.2443613505
210	0.9506035969	0.244327461
211	0.95072678	0.2441983837
212	0.9506035969	0.244068514
213	0.95072678	0.2439526516
214	0.95072678	0.2430106563
215	0.95072678	0.2429809365
216	0.950849963	0.2425347934
217	0.95072678	0.2421159841
218	0.9509731461	0.241984724
219	0.95072678	0.2419588749
220	0.950849963	0.2418397029
221	0.950849963	0.2418133362
222	0.95072678	0.2417895739
223	0.9512195122	0.2409056017
224	0.9510963291	0.2407333367
225	0.9510963291	0.2406281547
226	0.9514658783	0.2394992442
227	0.9513426952	0.2393694364
228	0.9514658783	0.239169663
229	0.9514658783	0.2390480793
230	0.9514658783	0.2388959639
231	0.9514658783	0.238658503
232	0.9514658783	0.2385465318
233	0.9514658783	0.2384383203
234	0.9513426952	0.2383190642
235	0.9513426952	0.238167513
236	0.9513426952	0.2375858589
237	0.9518354274	0.2368486878
238	0.9517122444	0.236765996
239	0.9518354274	0.2366334709
240	0.9518354274	0.2365222296
241	0.9518354274	0.2364008146
242	0.9518354274	0.2363817019
243	0.9518354274	0.2363038004
244	0.9517122444	0.2362840489
245	0.9518354274	0.2362462984
246	0.9517122444	0.2361376166
247	0.9517122444	0.2360691514
248	0.9518354274	0.2359996822
249	0.9517122444	0.2359841727
250	0.9518354274	0.2359115085
251	0.9519586105	0.2348711378
252	0.9522049766	0.2342265616
253	0.9522049766	0.2333358893
254	0.9526977088	0.2320895123
255	0.9525745257	0.232019376
256	0.9525745257	0.2319364055
257	0.9525745257	0.2319165041
258	0.9525745257	0.2317810795
259	0.9526977088	0.2312741746
260	0.9529440749	0.2304574552
261	0.9529440749	0.2304397849
262	0.9529440749	0.2304220852
263	0.9530672579	0.2304083723
264	0.953313624	0.2303907195
265	0.953313624	0.2296252656
266	0.953313624	0.2296108414
267	0.953190441	0.2295567434
268	0.953313624	0.2294167912
269	0.953190441	0.2293472439
270	0.9530672579	0.2292895087
271	0.9530672579	0.2292771278
272	0.953190441	0.2286807008
273	0.953190441	0.2286664144
274	0.953190441	0.2286543626
275	0.953190441	0.228639975
276	0.9534368071	0.2281181422
277	0.9534368071	0.2281063631
278	0.9534368071	0.2280520426
279	0.9535599901	0.2279999346
280	0.9536831732	0.2276149929
281	0.9536831732	0.227602442
282	0.9536831732	0.2275913468
283	0.9536831732	0.2275799035
284	0.9536831732	0.2275674512
285	0.9542990884	0.2267547692
286	0.9541759054	0.2267112283
287	0.9540527223	0.226101499
288	0.9540527223	0.2260885418
289	0.9541759054	0.2260769242
290	0.9544222715	0.2251053286
291	0.9544222715	0.2246704788
292	0.9544222715	0.2246585131
293	0.9544222715	0.2246478411
294	0.9544222715	0.2246368266
295	0.9547918206	0.2233850962
296	0.9547918206	0.2233736556
297	0.9550381867	0.2225975104
298	0.9550381867	0.2225861835
299	0.9550381867	0.2225735211
300	0.9550381867	0.2225633965
301	0.9550381867	0.2225536405
302	0.9550381867	0.2225371669
303	0.9554077359	0.2219011509
304	0.9554077359	0.2218484463
305	0.9554077359	0.2218357394
306	0.9554077359	0.2218240332
307	0.9554077359	0.221813631
308	0.9554077359	0.2209156766
309	0.9554077359	0.2205001934
310	0.9554077359	0.2200840544
311	0.9554077359	0.2200742461
312	0.9554077359	0.2196706419
313	0.9554077359	0.2196319454
314	0.9554077359	0.2196219005
315	0.9554077359	0.2195717293
316	0.9554077359	0.2195612295
317	0.9554077359	0.2195512471
318	0.9554077359	0.2195013313
319	0.9554077359	0.2194931809
320	0.955654102	0.2186177408
321	0.955654102	0.2186055449
322	0.955654102	0.2185959063
323	0.9559004681	0.2178890475
324	0.9559004681	0.2178790652
325	0.955777285	0.2176973934
326	0.955777285	0.216700749
327	0.9559004681	0.2166690036
328	0.9562700172	0.215919398
329	0.9561468342	0.2152143981
330	0.9562700172	0.2152046718
331	0.9562700172	0.2151942196
332	0.9561468342	0.2149973904
333	0.9561468342	0.2149884633
334	0.9562700172	0.2145909299
335	0.9562700172	0.2145531744
336	0.9565163833	0.2137901943
337	0.9565163833	0.2129725574
338	0.9565163833	0.2129413173
339	0.9566395664	0.2129333628
340	0.9565163833	0.2127647392
341	0.9565163833	0.2127373437
342	0.9566395664	0.2124178949
343	0.9566395664	0.2124095154
344	0.9565163833	0.2116414297
345	0.9565163833	0.2116310706
346	0.9565163833	0.2116216539
347	0.9567627494	0.2109955487
348	0.9566395664	0.2108126708
349	0.9568859325	0.2099558547
350	0.9568859325	0.2095764265
351	0.9568859325	0.2095665115
352	0.9568859325	0.2095576507
353	0.9571322986	0.2090298699
354	0.9575018477	0.2086563475
355	0.9575018477	0.2086471982
356	0.9575018477	0.2084406616
357	0.9575018477	0.2076544317
358	0.9575018477	0.2072752027
359	0.9573786647	0.2072674347
360	0.9575018477	0.2068364418
361	0.9578713969	0.2063905859
362	0.9578713969	0.2063819567
363	0.958117763	0.2055512166
364	0.958117763	0.205542528
365	0.958117763	0.2055329583
366	0.958117763	0.2055245868
367	0.9579945799	0.205128833
368	0.9579945799	0.2051210043
369	0.9579945799	0.2051073934
370	0.9579945799	0.2047122495
371	0.958117763	0.2047037824
372	0.958240946	0.2046969528
373	0.9583641291	0.2046900287
374	0.958117763	0.2039411057
375	0.958117763	0.2039337745
376	0.958240946	0.2039259418
377	0.958240946	0.2039172655
378	0.958240946	0.2039101582
379	0.958240946	0.2039034495
380	0.958240946	0.203701058
381	0.958240946	0.2033237554
382	0.9579945799	0.2029676043
383	0.958240946	0.2023477163
384	0.9583641291	0.2020196637
385	0.9583641291	0.201857118
386	0.9583641291	0.2018492934
387	0.9583641291	0.2018403323
388	0.958240946	0.2013905881
389	0.958240946	0.2011049675
390	0.9583641291	0.2008708907
391	0.9583641291	0.2008636434
392	0.958240946	0.2003922715
393	0.9584873121	0.1995661691
394	0.9584873121	0.1990412015
395	0.9586104952	0.1984967199
396	0.9586104952	0.1984342556
397	0.9587336782	0.1980229329
398	0.9587336782	0.1977100553
399	0.9586104952	0.1972153464
400	0.9586104952	0.197207595
401	0.9588568613	0.1965031886
402	0.9588568613	0.196347358
403	0.9588568613	0.1963387399
404	0.9588568613	0.195954344
405	0.9588568613	0.1959466444
406	0.9587336782	0.1951834592
407	0.9587336782	0.1951758113
408	0.9587336782	0.1951680633
409	0.9588568613	0.1944316847
410	0.9588568613	0.1944242971
411	0.9591032274	0.1939519828
412	0.9591032274	0.1939446009
413	0.9591032274	0.1939376962
414	0.9592264104	0.1932854067
415	0.9592264104	0.1932778348
416	0.9592264104	0.1926155974
417	0.9592264104	0.192605779
418	0.9591032274	0.1921706041
419	0.9593495935	0.1919503429
420	0.9593495935	0.1919429205
421	0.9593495935	0.1916456591
422	0.9594727765	0.1911355121
423	0.9595959596	0.1909814167
424	0.9595959596	0.190974257
425	0.9595959596	0.1909653736
426	0.9595959596	0.1906672663
427	0.9595959596	0.1902041039
428	0.9595959596	0.1898440505
429	0.9595959596	0.1895683306
430	0.9595959596	0.1893871355
431	0.9595959596	0.1893801631
432	0.9597191426	0.1888291572
433	0.9599655087	0.1881089533
434	0.9599655087	0.1877162635
435	0.9599655087	0.1871721223
436	0.9600886918	0.1868139584
437	0.9600886918	0.1864901557
438	0.9600886918	0.1864815725
439	0.9603350579	0.1860511831
440	0.9603350579	0.1855448324
441	0.9603350579	0.1851948665
442	0.9603350579	0.1849689442
443	0.9603350579	0.1846008247
444	0.9603350579	0.1845927442
445	0.9603350579	0.1845849119
446	0.960581424	0.1842304279
447	0.960581424	0.1837952758
448	0.960704607	0.1837881713
449	0.960704607	0.1837254207
450	0.9610741562	0.1830841909
451	0.9610741562	0.1830768564
452	0.9611973392	0.1827312098
453	0.9611973392	0.1827245513
454	0.9611973392	0.1825205615
455	0.9613205223	0.1822428505
456	0.9611973392	0.1819199918
457	0.9613205223	0.1816498406
458	0.9613205223	0.1816424524
459	0.9614437053	0.1812186715
460	0.9614437053	0.1809158129
461	0.9614437053	0.1804817303
462	0.9614437053	0.1804741242
463	0.9616900714	0.179955878
464	0.9621828036	0.1792242962
465	0.9619364375	0.1790114302
466	0.9619364375	0.17900478
467	0.9623059867	0.1784888682
468	0.9627987189	0.1781546239
469	0.9629219019	0.1779870298
470	0.9632914511	0.1774958231
471	0.9632914511	0.1771105085
472	0.9632914511	0.1771038124
473	0.9632914511	0.177096931
474	0.9632914511	0.1770908672
475	0.9632914511	0.1770841243
476	0.963168268	0.1767849466
477	0.963168268	0.1763702373
478	0.963168268	0.1763638475
479	0.9632914511	0.1763577312
480	0.9632914511	0.1757520562
481	0.9632914511	0.1757452747
482	0.9634146341	0.1750440581
483	0.9635378172	0.1746246353
484	0.9639073663	0.1739089625
485	0.9637841833	0.1739016212
486	0.9641537324	0.1733884436
487	0.9642769155	0.1731097422
488	0.9642769155	0.173001151
489	0.9641537324	0.1727731873
490	0.9642769155	0.1725673845
491	0.9641537324	0.1721094393
492	0.9644000985	0.1719539236
493	0.9644000985	0.1716924967
494	0.9642769155	0.1711078096
495	0.9644000985	0.1709247359
496	0.9645232816	0.170725673
497	0.9645232816	0.1703555399
498	0.9645232816	0.1702378063
499	0.9646464646	0.1700731566
500	0.9646464646	0.1700076692
501	0.9645232816	0.169657206
502	0.9645232816	0.1694395143
503	0.9645232816	0.1691270235
504	0.9648928307	0.168603907
505	0.9647696477	0.1685975561
506	0.9648928307	0.1682671371
507	0.9648928307	0.168260497
508	0.9648928307	0.1681544522
509	0.9651391968	0.1679265304
510	0.965508746	0.1676364457
511	0.9651391968	0.1673632686
512	0.9651391968	0.1671961924
513	0.9652623799	0.1670070555
514	0.9652623799	0.166934923
515	0.9652623799	0.1666084762
516	0.965508746	0.1661123466
517	0.965508746	0.1656847144
518	0.9657551121	0.1652610658
519	0.9657551121	0.1648390886
520	0.9660014782	0.164577839
521	0.9661246612	0.164101911
522	0.9661246612	0.1640797229
523	0.9662478443	0.16386676
524	0.9662478443	0.1636153825
525	0.9663710273	0.1631331763
526	0.9668637595	0.1626985038
527	0.9669869426	0.16265669
528	0.9669869426	0.1624912254
529	0.9668637595	0.1622417055
530	0.9671101256	0.161902384
531	0.9671101256	0.1615016312
532	0.9672333087	0.161339512
533	0.9672333087	0.1612244495
534	0.9671101256	0.161099945
535	0.9676028578	0.160809847
536	0.9677260409	0.1605576092
537	0.9678492239	0.1600862306
538	0.967972407	0.1596527664
539	0.96809559	0.1594352622
540	0.96809559	0.1594292902
541	0.96809559	0.1590881111
542	0.96809559	0.1590099496
543	0.96809559	0.158496193
544	0.967972407	0.1581132878
545	0.967972407	0.1580561322
546	0.9682187731	0.1577693915
547	0.9682187731	0.1576572292
548	0.9682187731	0.157272455
549	0.9682187731	0.1571421692
550	0.9682187731	0.1567782356
551	0.9683419561	0.1566191502
552	0.9683419561	0.1565444042
553	0.9683419561	0.1563950078
554	0.9683419561	0.1559526562
555	0.9683419561	0.1557090835
556	0.9684651392	0.1553462534
557	0.9685883222	0.1550956535
558	0.9685883222	0.1548451231
559	0.9687115053	0.1544551408
560	0.9687115053	0.1543018909
561	0.9689578714	0.1539206059
562	0.9689578714	0.1539145661
563	0.9687115053	0.1536446418
564	0.9687115053	0.1536082697
565	0.9687115053	0.1531785459
566	0.9687115053	0.1531388431
567	0.9685883222	0.1529415971
568	0.9687115053	0.1526824783
569	0.9685883222	0.152303726
570	0.9685883222	0.1521621513
571	0.9687115053	0.1520720765
572	0.9689578714	0.1517477712
573	0.9690810544	0.1515102073
574	0.9690810544	0.1515042066
575	0.9689578714	0.1513517165
576	0.9692042375	0.1510549141
577	0.9693274205	0.1509682471
578	0.9696969697	0.1506288451
579	0.9696969697	0.1506230304
580	0.9698201527	0.1505077489
581	0.9695737866	0.1501428416
582	0.9696969697	0.1499752452
583	0.9696969697	0.1497673411
584	0.9695737866	0.1495599798
585	0.9701897019	0.1491529055
586	0.970436068	0.1488497933
587	0.970559251	0.1487336871
588	0.970559251	0.148556437
589	0.970559251	0.1485509344
590	0.970559251	0.1485452148
591	0.9706824341	0.1484502857
592	0.970436068	0.1482298044
593	0.9706824341	0.147850016
594	0.9706824341	0.1477804222
595	0.9706824341	0.1475772461
596	0.9706824341	0.1472059541
597	0.9708056171	0.1470072038
598	0.9711751663	0.146748102
599	0.9712983493	0.1465327978
600	0.9711751663	0.1465271704
601	0.9710519832	0.1465219549
602	0.9710519832	0.1463768275
603	0.9711751663	0.1461840294
604	0.9714215324	0.145878938
605	0.9711751663	0.1457201171
606	0.9712983493	0.1454044136
607	0.9715447154	0.1451136605
608	0.9716678985	0.1446477607
609	0.9717910815	0.1444984804
610	0.9716678985	0.1444104084
611	0.9716678985	0.1442862984
612	0.9716678985	0.1442809831
613	0.9716678985	0.1439576622
614	0.9716678985	0.1437170634
615	0.9716678985	0.1436251235
616	0.9716678985	0.1435149797
617	0.9716678985	0.1433073733
618	0.9716678985	0.1430544923
619	0.9716678985	0.1427399949
620	0.9719142646	0.14247368
621	0.9719142646	0.1422076234
622	0.9720374476	0.1418333064
623	0.9721606307	0.1416925526
624	0.9721606307	0.1416875519
625	0.9724069968	0.1415678625
626	0.9726533629	0.1411896967
627	0.9727765459	0.1409332288
628	0.9726533629	0.1407468765
629	0.9726533629	0.1407423525
630	0.9727765459	0.1404344326
631	0.9727765459	0.1401128219
632	0.9726533629	0.1397291492
633	0.9726533629	0.1397245553
634	0.9726533629	0.1395040015
635	0.9727765459	0.1392103521
636	0.9727765459	0.1390981789
637	0.972899729	0.1388319129
638	0.973022912	0.1385436334
639	0.9731460951	0.1382666881
640	0.9731460951	0.1382614324
641	0.9731460951	0.1379859141
642	0.9733924612	0.1377352883
643	0.9733924612	0.1373656496
644	0.9733924612	0.1371134892
645	0.9735156442	0.1369264815
646	0.9735156442	0.136871143
647	0.9737620103	0.136646182
648	0.9737620103	0.1365380979
649	0.9737620103	0.1363499882
650	0.9736388273	0.1362248308
651	0.9737620103	0.1360911941
652	0.9740083764	0.135723297
653	0.9740083764	0.1354292538
654	0.9741315595	0.1351757015
655	0.9741315595	0.1351515625
656	0.9741315595	0.134962418
657	0.9741315595	0.1348567689
658	0.9742547425	0.13469343
659	0.9742547425	0.1345288961
660	0.9742547425	0.1342556997
661	0.9743779256	0.1341162001
662	0.9743779256	0.1339202458
663	0.9745011086	0.1336691361
664	0.9745011086	0.13324511
665	0.9745011086	0.13313838
666	0.9745011086	0.1329682213
667	0.9746242917	0.1327688302
668	0.9746242917	0.1326051414
669	0.9746242917	0.1323101168
670	0.9747474747	0.1320273298
671	0.9746242917	0.1317595664
672	0.9747474747	0.131462792
673	0.9748706578	0.1313541631
674	0.9748706578	0.1311337811
675	0.9751170239	0.1309884612
676	0.9751170239	0.1309029881
677	0.9751170239	0.1307034707
678	0.9749938408	0.1304690463
679	0.9749938408	0.1304126075
680	0.9751170239	0.1302253053
681	0.9751170239	0.1299347769
682	0.9751170239	0.129907944
683	0.9749938408	0.1297332818
684	0.9749938408	0.1295335093
685	0.9749938408	0.1292886396
686	0.9749938408	0.1291215868
687	0.9749938408	0.128961501
688	0.9751170239	0.1287940943
689	0.9752402069	0.1286508314
690	0.97536339	0.1284178654
691	0.9756097561	0.1281230398
692	0.9757329391	0.127973494
693	0.9758561222	0.1277022692
694	0.9761024883	0.1275448781
695	0.9758561222	0.1273251764
696	0.9762256713	0.1271807781
697	0.9762256713	0.1269808111
698	0.9762256713	0.1267591037
699	0.9762256713	0.1265446884
700	0.9762256713	0.126449802
701	0.9761024883	0.1261962267
702	0.9761024883	0.1261914399
703	0.9761024883	0.1260276381
704	0.9763488544	0.1257048782
705	0.9764720374	0.1255205226
706	0.9768415866	0.1253301782
707	0.9767184035	0.1252553171
708	0.9767184035	0.1251531688
709	0.9767184035	0.1249764345
710	0.9769647696	0.1247168645
711	0.9769647696	0.1245684965
712	0.9768415866	0.1243580607
713	0.9769647696	0.1242201881
714	0.9767184035	0.1240754045
715	0.9769647696	0.123888708
716	0.9768415866	0.1235876427
717	0.9769647696	0.123278211
718	0.9770879527	0.1230581347
719	0.9769647696	0.1230134809
720	0.9769647696	0.1228617445
721	0.9769647696	0.1226866659
722	0.9770879527	0.1224874776
723	0.9772111357	0.1223964458
724	0.9772111357	0.1222571632
725	0.9773343188	0.1220971227
726	0.9773343188	0.1219750693
727	0.9773343188	0.1219398854
728	0.9773343188	0.121852195
729	0.9773343188	0.1217624989
730	0.9773343188	0.1216028812
731	0.9773343188	0.1215321232
732	0.9773343188	0.1214944438
733	0.9773343188	0.1211727321
734	0.9773343188	0.1209568479
735	0.9773343188	0.1207982033
736	0.9773343188	0.1207734856
737	0.9772111357	0.1204520857
738	0.9773343188	0.1202005112
739	0.9773343188	0.1200778767
740	0.9773343188	0.1199685039
741	0.9773343188	0.1199287647
742	0.9774575018	0.1197320643
743	0.9774575018	0.1196551683
744	0.9774575018	0.1194470951
745	0.9775806849	0.1192977982
746	0.9774575018	0.119014317
747	0.9775806849	0.1188122346
748	0.9775806849	0.1187721578
749	0.9774575018	0.1185494791
750	0.9774575018	0.1182349956
751	0.977950234	0.1181355239
752	0.977827051	0.1180803886
753	0.977827051	0.1180084378
754	0.977950234	0.117788575
755	0.977950234	0.1177215786
756	0.977950234	0.117634122
757	0.977827051	0.1174763362
758	0.9780734171	0.1172872439
759	0.977950234	0.1171545451
760	0.9783197832	0.1169646213
761	0.9783197832	0.1169295086
762	0.9784429662	0.116740499
763	0.9784429662	0.1166265956
764	0.9784429662	0.116368458
765	0.9785661493	0.1161619986
766	0.9785661493	0.1160135321
767	0.9785661493	0.115750298
768	0.9785661493	0.1157101943
769	0.9785661493	0.1157061002
770	0.9784429662	0.1155601115
771	0.9784429662	0.1155009656
772	0.9785661493	0.115303416
773	0.9786893323	0.1152104055
774	0.9786893323	0.1151951551
775	0.9789356984	0.1150316748
776	0.9789356984	0.1149031087
777	0.9789356984	0.1147912874
778	0.9789356984	0.1147742428
779	0.9789356984	0.1147336155
780	0.9789356984	0.1146629868
781	0.9788125154	0.1144315398
782	0.9789356984	0.114323723
783	0.9788125154	0.1141516263
784	0.9788125154	0.1139981717
785	0.9789356984	0.1139380105
786	0.9789356984	0.1138047741
787	0.9790588815	0.1136328423
788	0.9790588815	0.1135366672
789	0.9790588815	0.1134193429
790	0.9791820645	0.1132509496
791	0.9791820645	0.1130781764
792	0.9791820645	0.1130122281
793	0.9791820645	0.1127671753
794	0.9790588815	0.112540358
795	0.9789356984	0.1123772694
796	0.9789356984	0.1123607357
797	0.9789356984	0.1122862226
798	0.9789356984	0.1121849069
799	0.9790588815	0.1120168994
800	0.9790588815	0.1119082419
801	0.9791820645	0.1118048933
802	0.9790588815	0.1117282601
803	0.9791820645	0.1116392676
804	0.9791820645	0.1115009619
805	0.9791820645	0.1114250356
806	0.9794284306	0.1112460026
807	0.9796747967	0.1110687808
808	0.9795516137	0.1109494791
809	0.9795516137	0.1108549261
810	0.9794284306	0.1108513652
811	0.9795516137	0.1107769568
812	0.9795516137	0.1106789046
813	0.9794284306	0.1105393011
814	0.9795516137	0.1103756705
815	0.9795516137	0.1103008479
816	0.9795516137	0.1101868477
817	0.9795516137	0.1099681426
818	0.9795516137	0.1098706639
819	0.9795516137	0.1097097509
820	0.9799211628	0.1095237083
821	0.9801675289	0.1092988778
822	0.9801675289	0.1092956419
823	0.9801675289	0.1092259428
824	0.980290712	0.1090071452
825	0.980290712	0.108915876
826	0.980290712	0.1087432268
827	0.980290712	0.1086314077
828	0.980290712	0.1085192382
829	0.980290712	0.1083060241
830	0.980413895	0.1082040437
831	0.980413895	0.1082007218
832	0.980413895	0.1080419572
833	0.9805370781	0.107954343
834	0.980413895	0.1079106722
835	0.9805370781	0.1077455989
836	0.9805370781	0.1075652281
837	0.9805370781	0.1075407698
838	0.9805370781	0.1075260648
839	0.9805370781	0.1073325813
840	0.9805370781	0.107329695
841	0.9805370781	0.1072917335
842	0.9805370781	0.1072247833
843	0.9805370781	0.1071203607
844	0.9805370781	0.1070338038
845	0.9805370781	0.1068616816
846	0.9805370781	0.1068072957
847	0.9805370781	0.1066122702
848	0.9805370781	0.1065659733
849	0.9806602611	0.1063885583
850	0.9806602611	0.106266985
851	0.9807834442	0.1061324053
852	0.9810298103	0.1059569676
853	0.9811529933	0.1057746918
854	0.9811529933	0.1055488589
855	0.9810298103	0.1053917714
856	0.9810298103	0.1052681638
857	0.9811529933	0.1051828149
858	0.9812761764	0.1051589003
859	0.9812761764	0.105054187
860	0.9812761764	0.1050258777
861	0.9812761764	0.1049802634
862	0.9812761764	0.1049336945
863	0.9812761764	0.1047935862
864	0.9812761764	0.104658217
865	0.9812761764	0.1045311427
866	0.9811529933	0.1042927503
867	0.9812761764	0.1041692879
868	0.9813993594	0.1039261414
869	0.9813993594	0.1038918946
870	0.9813993594	0.1037884073
871	0.9813993594	0.1037053678
872	0.9815225425	0.1036507481
873	0.9815225425	0.1035604391
874	0.9815225425	0.1035212562
875	0.9815225425	0.103460555
876	0.9815225425	0.1032917865
877	0.9816457255	0.1031361524
878	0.9816457255	0.1029209048
879	0.9816457255	0.1027629136
880	0.9816457255	0.1025672888
881	0.9816457255	0.1024033973
882	0.9816457255	0.1022183095
883	0.9816457255	0.1021056378
884	0.9816457255	0.1020327364
885	0.9816457255	0.1018944914
886	0.9816457255	0.1018265272
